"Time","ai"
"2021-05-01",3
"2021-06-01",3
"2021-07-01",3
"2021-08-01",3
"2021-09-01",3
"2021-10-01",3
"2021-11-01",3
"2021-12-01",3
"2022-01-01",3
"2022-02-01",4
"2022-03-01",3
"2022-04-01",4
"2022-05-01",4
"2022-06-01",5
"2022-07-01",4
"2022-08-01",5
"2022-09-01",5
"2022-10-01",5
"2022-11-01",6
"2022-12-01",12
"2023-01-01",10
"2023-02-01",14
"2023-03-01",15
"2023-04-01",25
"2023-05-01",24
"2023-06-01",22
"2023-07-01",22
"2023-08-01",19
"2023-09-01",22
"2023-10-01",25
"2023-11-01",26
"2023-12-01",24
"2024-01-01",26
"2024-02-01",30
"2024-03-01",30
"2024-04-01",31
"2024-05-01",32
"2024-06-01",31
"2024-07-01",28
"2024-08-01",31
"2024-09-01",36
"2024-10-01",39
"2024-11-01",41
"2024-12-01",43
"2025-01-01",43
"2025-02-01",49
"2025-03-01",51
"2025-04-01",50
"2025-05-01",51
"2025-06-01",59
"2025-07-01",73
"2025-08-01",63
"2025-09-01",69
"2025-10-01",73
"2025-11-01",70
"2025-12-01",72
"2026-01-01",77
"2026-02-01",91
"2026-03-01",100
"2026-04-01",97
