"Time","ai detector"
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",0
"2023-01-01",2
"2023-02-01",4
"2023-03-01",7
"2023-04-01",12
"2023-05-01",13
"2023-06-01",6
"2023-07-01",4
"2023-08-01",5
"2023-09-01",13
"2023-10-01",16
"2023-11-01",16
"2023-12-01",15
"2024-01-01",11
"2024-02-01",20
"2024-03-01",19
"2024-04-01",26
"2024-05-01",22
"2024-06-01",12
"2024-07-01",11
"2024-08-01",14
"2024-09-01",42
"2024-10-01",54
"2024-11-01",55
"2024-12-01",53
"2025-01-01",37
"2025-02-01",66
"2025-03-01",65
"2025-04-01",73
"2025-05-01",61
"2025-06-01",33
"2025-07-01",28
"2025-08-01",32
"2025-09-01",80
"2025-10-01",100
"2025-11-01",89
"2025-12-01",69
"2026-01-01",52
"2026-02-01",75
"2026-03-01",77
"2026-04-01",76
