"Time","data centers"
"2021-05-01",3
"2021-06-01",4
"2021-07-01",4
"2021-08-01",4
"2021-09-01",4
"2021-10-01",4
"2021-11-01",4
"2021-12-01",3
"2022-01-01",4
"2022-02-01",5
"2022-03-01",4
"2022-04-01",5
"2022-05-01",4
"2022-06-01",4
"2022-07-01",4
"2022-08-01",5
"2022-09-01",4
"2022-10-01",5
"2022-11-01",5
"2022-12-01",4
"2023-01-01",5
"2023-02-01",5
"2023-03-01",5
"2023-04-01",5
"2023-05-01",5
"2023-06-01",5
"2023-07-01",5
"2023-08-01",5
"2023-09-01",6
"2023-10-01",6
"2023-11-01",6
"2023-12-01",5
"2024-01-01",7
"2024-02-01",9
"2024-03-01",9
"2024-04-01",9
"2024-05-01",9
"2024-06-01",10
"2024-07-01",10
"2024-08-01",9
"2024-09-01",10
"2024-10-01",10
"2024-11-01",10
"2024-12-01",11
"2025-01-01",19
"2025-02-01",17
"2025-03-01",14
"2025-04-01",16
"2025-05-01",16
"2025-06-01",23
"2025-07-01",29
"2025-08-01",34
"2025-09-01",34
"2025-10-01",46
"2025-11-01",61
"2025-12-01",66
"2026-01-01",69
"2026-02-01",91
"2026-03-01",100
"2026-04-01",96
