Question,Response,Overall,Age: 18–29,Age: 30–44,Age: 45–59,Age: 60+,Income: Under $25K,Income: $25K–$50K,Income: $50K–$75K,Income: $75K–$100K,Income: $100K+,Education: Less than HS,Education: High school,Education: Some college,Education: Bachelor+,Employment: Full-time,Employment: Part-time,Employment: Not working
AI Services Used,ChatGPT,31.04%,45.1%,39.01%,30.42%,15.97%,27.96%,22.33%,24.46%,30.91%,35.71%,22.39%,22.78%,31.61%,39.15%,37.29%,34.24%,22.23%
AI Services Used,Claude,2.96%,4.29%,4.67%,2.74%,0.84%,0.0%,1.04%,1.38%,1.95%,4.66%,0.0%,0.69%,1.72%,6.32%,4.35%,3.3%,1.13%
AI Services Used,Google Gemini,20.89%,25.37%,26.89%,22.47%,11.93%,22.69%,17.86%,18.98%,20.79%,21.92%,18.84%,17.58%,18.31%,25.8%,23.2%,20.31%,18.31%
AI Services Used,Microsoft Copilot,10.48%,10.51%,12.36%,12.85%,7.16%,5.51%,6.3%,8.53%,8.86%,13.38%,5.95%,5.6%,10.17%,15.59%,14.71%,5.84%,7.1%
AI Services Used,Grok,4.52%,5.98%,4.82%,5.56%,2.58%,5.14%,4.41%,3.71%,3.43%,4.91%,2.93%,5.32%,4.31%,4.44%,5.86%,3.43%,3.3%
AI Services Used,Meta AI,7.53%,10.81%,7.84%,6.79%,5.74%,15.77%,8.76%,10.41%,9.4%,4.5%,8.91%,10.31%,8.01%,4.69%,7.25%,8.88%,7.35%
AI Services Used,Perplexity,1.73%,2.92%,1.59%,1.57%,1.21%,2.6%,2.19%,1.18%,0.82%,1.82%,1.08%,1.74%,1.41%,2.11%,1.98%,1.46%,1.52%
AI Services Used,DeepSeek,0.64%,1.41%,1.05%,0.37%,0.0%,1.58%,0.72%,0.32%,0.36%,0.6%,0.0%,0.67%,0.55%,0.83%,0.95%,0.33%,0.37%
AI Services Used,Character.AI,0.68%,1.26%,0.96%,0.58%,0.16%,2.65%,0.39%,0.69%,0.0%,0.57%,1.67%,0.5%,0.78%,0.51%,0.82%,0.68%,0.51%
AI Services Used,Other,2.04%,0.95%,3.62%,1.46%,1.83%,4.89%,1.21%,2.0%,1.19%,1.96%,2.03%,1.4%,1.24%,3.12%,2.15%,2.1%,1.89%
